season,team,stadium,wins
2008,Gujarat Lions,Sharjah Cricket Stadium,0
2008,Gujarat Lions,Dubai International Cricket Stadium,0
2008,Gujarat Lions,Maharashtra Cricket Association Stadium,0
2008,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0
2008,Gujarat Lions,Saurashtra Cricket Association Stadium,0
2008,Gujarat Lions,Green Park,0
2008,Gujarat Lions,M.Chinnaswamy Stadium,0
2008,Rising Pune Supergiants,M Chinnaswamy Stadium,0
2008,Rising Pune Supergiants,"Punjab Cricket Association Stadium, Mohali",0
2008,Rising Pune Supergiants,Feroz Shah Kotla,0
2008,Rising Pune Supergiants,Wankhede Stadium,0
2008,Rising Pune Supergiants,Eden Gardens,0
2008,Rising Pune Supergiants,Sawai Mansingh Stadium,0
2008,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",0
2008,Rising Pune Supergiants,"MA Chidambaram Stadium, Chepauk",0
2008,Rising Pune Supergiants,Dr DY Patil Sports Academy,0
2008,Rising Pune Supergiants,Newlands,0
2008,Rising Pune Supergiants,St George's Park,0
2008,Rising Pune Supergiants,Kingsmead,0
2008,Rising Pune Supergiants,SuperSport Park,0
2008,Rising Pune Supergiants,Buffalo Park,0
2008,Rising Pune Supergiants,New Wanderers Stadium,0
2008,Rising Pune Supergiants,De Beers Diamond Oval,0
2008,Rising Pune Supergiants,OUTsurance Oval,0
2008,Rising Pune Supergiants,Brabourne Stadium,0
2008,Rising Pune Supergiants,"Sardar Patel Stadium, Motera",0
2008,Rising Pune Supergiants,Barabati Stadium,0
2008,Rising Pune Supergiants,"Vidarbha Cricket Association Stadium, Jamtha",0
2008,Rising Pune Supergiants,Himachal Pradesh Cricket Association Stadium,0
2008,Rising Pune Supergiants,Nehru Stadium,0
2008,Rising Pune Supergiants,Holkar Cricket Stadium,0
2008,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0
2008,Rising Pune Supergiants,Subrata Roy Sahara Stadium,0
2008,Rising Pune Supergiants,Shaheed Veer Narayan Singh International Stadium,0
2008,Rising Pune Supergiants,JSCA International Stadium Complex,0
2008,Rising Pune Supergiants,Sheikh Zayed Stadium,0
2008,Rising Pune Supergiants,Sharjah Cricket Stadium,0
2008,Rising Pune Supergiants,Dubai International Cricket Stadium,0
2008,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,0
